row, success, cause
https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwrath.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/abra.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/kadabra.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/alakazam.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/alakazam-mega.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/machop.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/machoke.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/machamp.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/bellsprout.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/weepinbell.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/victreebel.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacool.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacruel.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/geodude.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/geodude-alolan.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/graveler.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/graveler-alolan.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/golem.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/golem-alolan.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/ponyta.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/ponyta-galarian.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/rapidash.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/rapidash-galarian.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/slowpoke.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/slowpoke-galarian.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro-mega.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro-galarian.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/magnemite.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/magneton.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/farfetchd.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/farfetchd-galarian.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/doduo.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/dodrio.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/seel.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/dewgong.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/grimer.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/grimer-alolan.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/muk.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/muk-alolan.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/shellder.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/cloyster.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/gastly.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/haunter.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/gengar.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/gengar-mega.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/onix.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/drowzee.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/hypno.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/krabby.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/kingler.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb-hisuian.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode.png, True, None
